Time(s)	CH1(V)	CH2(V)	CH3(V)	CH4(V)
0.0000000000e+00	3.406250	0.000000	0.031250	0.031250
8.0000000000e-06	3.406250	0.000000	0.031250	0.031250
1.6000000000e-05	3.343750	0.000000	0.031250	0.031250
2.4000000000e-05	3.406250	0.000000	0.031250	0.031250
3.2000000000e-05	3.406250	0.000000	0.031250	0.031250
4.0000000000e-05	3.343750	0.000000	0.031250	0.031250
4.8000000000e-05	3.406250	0.000000	0.031250	0.031250
5.6000000000e-05	3.343750	0.000000	0.031250	0.031250
6.4000000000e-05	3.343750	0.000000	0.031250	0.031250
7.2000000000e-05	3.406250	0.000000	0.031250	0.031250
8.0000000000e-05	3.343750	0.000000	0.031250	0.031250
8.8000000000e-05	3.343750	0.000000	0.031250	0.031250
9.6000000000e-05	3.406250	0.000000	0.031250	0.031250
1.0400000000e-04	3.343750	0.000000	0.031250	0.031250
1.1200000000e-04	3.406250	0.000000	0.031250	0.031250
1.2000000000e-04	3.343750	0.000000	0.031250	0.031250
1.2800000000e-04	3.343750	0.000000	0.031250	0.031250
1.3600000000e-04	3.406250	0.000000	0.031250	0.031250
1.4400000000e-04	3.343750	0.000000	0.031250	0.031250
1.5200000000e-04	3.343750	0.000000	0.031250	0.031250
1.6000000000e-04	3.406250	0.000000	0.031250	0.031250
1.6800000000e-04	3.343750	0.000000	0.031250	0.031250
1.7600000000e-04	3.343750	0.000000	0.031250	0.031250
1.8400000000e-04	3.406250	0.000000	0.031250	0.031250
1.9200000000e-04	3.343750	0.000000	0.031250	0.031250
2.0000000000e-04	3.343750	0.000000	0.031250	0.031250
2.0800000000e-04	3.406250	0.000000	0.031250	0.031250
2.1600000000e-04	3.343750	0.000000	0.031250	0.031250
2.2400000000e-04	3.406250	0.000000	0.031250	0.031250
2.3200000000e-04	3.406250	0.000000	0.031250	0.031250
2.4000000000e-04	3.343750	0.000000	0.031250	0.031250
2.4800000000e-04	3.406250	0.000000	0.031250	0.031250
2.5600000000e-04	3.343750	0.000000	0.031250	0.031250
2.6400000000e-04	3.343750	0.000000	0.031250	0.031250
2.7200000000e-04	3.406250	0.000000	0.031250	0.031250
2.8000000000e-04	3.343750	0.000000	0.031250	0.031250
2.8800000000e-04	3.343750	0.000000	0.031250	0.031250
2.9600000000e-04	3.406250	0.000000	0.031250	0.031250
3.0400000000e-04	3.343750	0.000000	0.031250	0.031250
3.1200000000e-04	3.343750	0.000000	0.031250	0.031250
3.2000000000e-04	3.406250	0.000000	0.031250	0.031250
3.2800000000e-04	3.343750	0.000000	0.031250	0.031250
3.3600000000e-04	3.406250	0.000000	0.031250	0.031250
3.4400000000e-04	3.406250	0.000000	0.031250	0.031250
3.5200000000e-04	3.343750	0.000000	0.031250	0.031250
3.6000000000e-04	3.406250	0.000000	0.031250	0.031250
3.6800000000e-04	3.343750	0.000000	0.031250	0.031250
3.7600000000e-04	3.343750	0.000000	0.031250	0.031250
3.8400000000e-04	3.406250	0.000000	0.031250	0.031250
3.9200000000e-04	3.343750	0.000000	0.031250	0.031250
4.0000000000e-04	3.343750	0.000000	0.031250	0.031250
4.0800000000e-04	3.406250	0.000000	0.031250	0.031250
4.1600000000e-04	3.343750	0.000000	0.031250	0.031250
4.2400000000e-04	3.343750	0.000000	0.031250	0.031250
4.3200000000e-04	3.406250	0.000000	0.031250	0.031250
4.4000000000e-04	3.343750	0.000000	0.031250	0.031250
4.4800000000e-04	3.343750	0.000000	0.031250	0.031250
4.5600000000e-04	3.406250	0.000000	0.031250	0.031250
4.6400000000e-04	3.343750	0.000000	0.031250	0.031250
4.7200000000e-04	3.406250	0.000000	0.031250	0.031250
4.8000000000e-04	3.406250	0.000000	0.031250	0.031250
4.8800000000e-04	3.343750	0.000000	0.031250	0.031250
4.9600000000e-04	3.406250	0.000000	0.031250	0.031250
5.0400000000e-04	3.343750	0.000000	0.031250	0.031250
5.1200000000e-04	3.343750	0.000000	0.031250	0.031250
5.2000000000e-04	3.406250	0.000000	0.031250	0.031250
5.2800000000e-04	3.343750	0.000000	0.031250	0.031250
5.3600000000e-04	3.343750	0.000000	0.031250	0.031250
5.4400000000e-04	3.406250	0.000000	0.031250	0.031250
5.5200000000e-04	3.343750	0.000000	0.031250	0.031250
5.6000000000e-04	3.343750	0.000000	0.031250	0.031250
5.6800000000e-04	3.406250	0.000000	0.031250	0.031250
5.7600000000e-04	3.343750	0.000000	0.031250	0.031250
5.8400000000e-04	3.343750	0.000000	0.031250	0.031250
5.9200000000e-04	3.406250	0.000000	0.031250	0.031250
6.0000000000e-04	3.343750	0.000000	0.031250	0.031250
6.0800000000e-04	3.406250	0.000000	0.031250	0.031250
6.1600000000e-04	3.343750	0.000000	0.031250	0.031250
6.2400000000e-04	3.343750	0.000000	0.031250	0.031250
6.3200000000e-04	3.406250	0.000000	0.031250	0.031250
6.4000000000e-04	3.343750	0.000000	0.031250	0.031250
6.4800000000e-04	3.343750	0.000000	0.031250	0.031250
6.5600000000e-04	3.406250	0.000000	0.031250	0.031250
6.6400000000e-04	3.343750	0.000000	0.031250	0.031250
6.7200000000e-04	3.343750	0.000000	0.031250	0.031250
6.8000000000e-04	3.406250	0.000000	0.031250	0.031250
6.8800000000e-04	3.343750	0.000000	0.031250	0.031250
6.9600000000e-04	3.343750	0.000000	0.031250	0.031250
7.0400000000e-04	3.406250	0.000000	0.031250	0.031250
7.1200000000e-04	3.343750	0.000000	0.031250	0.031250
7.2000000000e-04	3.343750	0.000000	0.031250	0.031250
7.2800000000e-04	0.031250	0.000000	0.031250	0.031250
7.3600000000e-04	0.031250	0.000000	0.031250	0.031250
7.4400000000e-04	0.031250	0.031250	0.031250	0.031250
7.5200000000e-04	0.031250	0.000000	0.031250	0.031250
7.6000000000e-04	0.031250	0.000000	0.031250	0.031250
7.6800000000e-04	0.031250	0.000000	0.031250	0.031250
7.7600000000e-04	0.031250	0.000000	0.031250	0.031250
7.8400000000e-04	0.031250	0.000000	0.031250	0.031250
7.9200000000e-04	0.031250	0.000000	0.031250	0.031250
8.0000000000e-04	0.031250	0.000000	0.031250	0.031250
8.0800000000e-04	0.031250	0.000000	0.031250	0.031250
8.1600000000e-04	0.031250	0.000000	0.031250	0.031250
8.2400000000e-04	0.031250	0.000000	0.031250	0.031250
8.3200000000e-04	0.031250	0.000000	0.031250	0.031250
8.4000000000e-04	0.031250	0.000000	0.031250	0.031250
8.4800000000e-04	0.031250	0.000000	0.031250	0.031250
8.5600000000e-04	0.031250	0.000000	0.031250	0.031250
8.6400000000e-04	0.031250	0.000000	0.031250	0.031250
8.7200000000e-04	0.031250	0.000000	0.031250	0.031250
8.8000000000e-04	0.031250	0.000000	0.031250	0.031250
8.8800000000e-04	0.031250	0.000000	0.031250	0.031250
8.9600000000e-04	0.031250	0.000000	0.031250	0.031250
9.0400000000e-04	0.031250	0.000000	0.031250	0.031250
9.1200000000e-04	0.031250	0.000000	0.031250	0.031250
9.2000000000e-04	0.031250	0.000000	0.031250	0.031250
9.2800000000e-04	0.031250	0.000000	0.031250	0.031250
9.3600000000e-04	0.031250	0.000000	0.031250	0.031250
9.4400000000e-04	0.031250	0.000000	0.031250	0.031250
9.5200000000e-04	0.031250	0.000000	0.031250	0.031250
9.6000000000e-04	0.031250	0.000000	0.031250	0.031250
9.6800000000e-04	0.031250	0.000000	0.031250	0.031250
9.7600000000e-04	0.031250	0.000000	0.031250	0.031250
9.8400000000e-04	0.031250	0.000000	0.031250	0.031250
9.9200000000e-04	0.031250	0.000000	0.031250	0.031250
1.0000000000e-03	0.031250	0.000000	0.031250	0.031250
1.0080000000e-03	0.031250	0.000000	0.031250	0.031250
1.0160000000e-03	0.031250	0.000000	0.031250	0.031250
1.0240000000e-03	0.031250	0.000000	0.031250	0.031250
1.0320000000e-03	0.031250	0.000000	0.031250	0.031250
1.0400000000e-03	0.031250	0.000000	0.031250	0.031250
1.0480000000e-03	0.031250	0.000000	0.031250	0.031250
1.0560000000e-03	0.031250	0.000000	0.031250	0.031250
1.0640000000e-03	0.031250	0.000000	0.031250	0.031250
1.0720000000e-03	0.031250	0.000000	0.031250	0.031250
1.0800000000e-03	0.031250	0.000000	0.031250	0.031250
1.0880000000e-03	0.031250	0.000000	0.031250	0.031250
1.0960000000e-03	0.031250	0.000000	0.031250	0.031250
1.1040000000e-03	0.031250	0.000000	0.031250	0.031250
1.1120000000e-03	0.031250	0.000000	0.031250	0.031250
1.1200000000e-03	0.031250	0.000000	0.031250	0.031250
1.1280000000e-03	0.031250	0.000000	0.031250	0.031250
1.1360000000e-03	0.031250	0.000000	0.031250	0.031250
1.1440000000e-03	0.031250	0.000000	0.031250	0.031250
1.1520000000e-03	0.031250	0.000000	0.031250	0.031250
1.1600000000e-03	0.031250	0.000000	0.031250	0.031250
1.1680000000e-03	0.031250	0.000000	0.031250	0.031250
