Time(s)	CH1	CH2	CH3	CH4
0.000000000e+00	0.031250	0.062500	0.031250	0.031250
8.000000000e-07	0.031250	0.062500	0.031250	0.031250
1.600000000e-06	0.031250	0.062500	0.031250	0.031250
2.400000000e-06	0.031250	0.062500	0.031250	0.031250
3.200000000e-06	0.031250	0.062500	0.031250	0.031250
4.000000000e-06	0.031250	0.062500	0.031250	0.031250
4.800000000e-06	0.031250	0.062500	0.031250	0.031250
5.600000000e-06	0.031250	0.062500	0.031250	0.031250
6.400000000e-06	0.031250	0.062500	0.031250	0.031250
7.200000000e-06	0.031250	0.062500	0.031250	0.031250
8.000000000e-06	0.031250	0.062500	0.031250	0.031250
8.800000000e-06	0.031250	0.062500	0.031250	0.031250
9.600000000e-06	0.062500	0.062500	0.031250	0.031250
1.040000000e-05	0.031250	0.062500	0.031250	0.031250
1.120000000e-05	0.031250	0.062500	0.031250	0.031250
1.200000000e-05	0.031250	0.062500	0.031250	0.031250
1.280000000e-05	0.031250	0.062500	0.031250	0.031250
1.360000000e-05	0.031250	0.062500	0.031250	0.031250
1.440000000e-05	0.031250	0.062500	0.031250	0.031250
1.520000000e-05	0.031250	0.062500	0.031250	0.031250
1.600000000e-05	0.031250	0.062500	0.031250	0.031250
1.680000000e-05	0.031250	0.062500	0.031250	0.031250
1.760000000e-05	0.031250	0.031250	0.031250	0.031250
1.840000000e-05	0.031250	0.062500	0.031250	0.031250
1.920000000e-05	0.031250	0.062500	0.031250	0.031250
2.000000000e-05	0.031250	0.031250	0.031250	0.031250
2.080000000e-05	0.031250	0.062500	0.031250	0.031250
2.160000000e-05	0.031250	0.062500	0.031250	0.031250
2.240000000e-05	0.031250	0.062500	0.031250	0.031250
2.320000000e-05	0.031250	0.062500	0.031250	0.031250
2.400000000e-05	0.031250	0.062500	0.031250	0.031250
2.480000000e-05	0.031250	0.062500	0.031250	0.031250
2.560000000e-05	0.031250	0.062500	0.031250	0.031250
2.640000000e-05	0.031250	0.062500	0.031250	0.031250
2.720000000e-05	0.031250	0.062500	0.031250	0.031250
2.800000000e-05	0.031250	0.062500	0.031250	0.031250
2.880000000e-05	0.031250	0.062500	0.031250	0.031250
2.960000000e-05	0.031250	0.031250	0.031250	0.031250
3.040000000e-05	0.031250	0.062500	0.031250	0.031250
3.120000000e-05	0.031250	0.062500	0.031250	0.031250
3.200000000e-05	0.031250	0.031250	0.031250	0.031250
3.280000000e-05	0.031250	0.062500	0.031250	0.031250
3.360000000e-05	0.031250	0.062500	0.031250	0.031250
3.440000000e-05	0.031250	0.062500	0.031250	0.031250
3.520000000e-05	0.031250	0.031250	0.031250	0.031250
3.600000000e-05	0.031250	0.062500	0.031250	0.031250
3.680000000e-05	0.062500	0.062500	0.031250	0.031250
3.760000000e-05	0.031250	0.062500	0.031250	0.031250
3.840000000e-05	0.031250	0.062500	0.031250	0.031250
3.920000000e-05	0.031250	0.062500	0.031250	0.031250
4.000000000e-05	0.031250	0.062500	0.031250	0.031250
4.080000000e-05	0.031250	0.062500	0.031250	0.031250
4.160000000e-05	0.031250	0.062500	0.031250	0.031250
4.240000000e-05	0.031250	0.062500	0.031250	0.031250
4.320000000e-05	0.031250	0.062500	0.031250	0.031250
4.400000000e-05	0.062500	0.062500	0.031250	0.031250
4.480000000e-05	0.031250	0.031250	0.031250	0.031250
4.560000000e-05	0.031250	0.062500	0.031250	0.031250
4.640000000e-05	0.031250	0.062500	0.031250	0.031250
4.720000000e-05	0.031250	0.062500	0.031250	0.031250
4.800000000e-05	0.031250	0.062500	0.031250	0.031250
4.880000000e-05	0.031250	0.062500	0.031250	0.031250
4.960000000e-05	0.031250	0.062500	0.031250	0.031250
5.040000000e-05	0.062500	0.062500	0.031250	0.031250
5.120000000e-05	0.031250	0.062500	0.031250	0.031250
5.200000000e-05	0.031250	0.062500	0.031250	0.031250
5.280000000e-05	0.062500	0.062500	0.031250	0.031250
5.360000000e-05	0.031250	0.062500	0.031250	0.031250
5.440000000e-05	0.031250	0.062500	0.031250	0.031250
5.520000000e-05	0.031250	0.062500	0.031250	0.031250
5.600000000e-05	0.031250	0.062500	0.031250	0.031250
5.680000000e-05	0.031250	0.062500	0.031250	0.031250
5.760000000e-05	0.031250	0.062500	0.031250	0.031250
5.840000000e-05	0.031250	0.062500	0.031250	0.031250
5.920000000e-05	0.031250	0.062500	0.031250	0.031250
6.000000000e-05	0.031250	0.062500	0.031250	0.031250
6.080000000e-05	0.031250	0.031250	0.031250	0.031250
6.160000000e-05	0.031250	0.062500	0.031250	0.031250
6.240000000e-05	0.031250	0.031250	0.031250	0.031250
6.320000000e-05	0.031250	0.062500	0.031250	0.031250
6.400000000e-05	0.031250	0.062500	0.031250	0.031250
6.480000000e-05	0.031250	0.062500	0.031250	0.031250
6.560000000e-05	0.031250	0.062500	0.031250	0.031250
6.640000000e-05	0.031250	0.062500	0.031250	0.031250
6.720000000e-05	0.031250	0.062500	0.031250	0.031250
6.800000000e-05	0.031250	0.062500	0.031250	0.031250
6.880000000e-05	0.031250	0.062500	0.031250	0.031250
6.960000000e-05	0.031250	0.062500	0.031250	0.031250
7.040000000e-05	0.031250	0.062500	0.031250	0.031250
7.120000000e-05	0.031250	0.062500	0.031250	0.031250
7.200000000e-05	0.031250	0.062500	0.031250	0.031250
7.280000000e-05	0.031250	0.062500	0.031250	0.031250
7.360000000e-05	0.031250	0.062500	0.031250	0.031250
7.440000000e-05	0.062500	0.031250	0.031250	0.031250
7.520000000e-05	0.062500	0.062500	0.031250	0.031250
7.600000000e-05	0.031250	0.062500	0.031250	0.031250
7.680000000e-05	0.062500	0.062500	0.031250	0.031250
7.760000000e-05	0.062500	0.062500	0.031250	0.031250
7.840000000e-05	0.031250	0.062500	0.031250	0.031250
7.920000000e-05	0.031250	0.062500	0.031250	0.031250
8.000000000e-05	0.031250	0.062500	0.031250	0.031250
8.080000000e-05	0.031250	0.062500	0.031250	0.031250
8.160000000e-05	0.031250	0.062500	0.031250	0.031250
8.240000000e-05	0.062500	0.062500	0.031250	0.031250
8.320000000e-05	0.031250	0.062500	0.031250	0.031250
8.400000000e-05	0.062500	0.062500	0.031250	0.031250
8.480000000e-05	0.031250	0.062500	0.031250	0.031250
8.560000000e-05	0.031250	0.062500	0.031250	0.031250
8.640000000e-05	0.031250	0.062500	0.031250	0.031250
8.720000000e-05	0.031250	0.062500	0.031250	0.031250
8.800000000e-05	0.062500	0.062500	0.031250	0.031250
8.880000000e-05	0.031250	0.062500	0.031250	0.031250
8.960000000e-05	0.031250	0.062500	0.031250	0.031250
9.040000000e-05	0.031250	0.062500	0.031250	0.031250
9.120000000e-05	0.031250	0.062500	0.031250	0.031250
9.200000000e-05	0.031250	0.062500	0.031250	0.031250
9.280000000e-05	0.031250	0.062500	0.031250	0.031250
9.360000000e-05	0.031250	0.062500	0.031250	0.031250
9.440000000e-05	0.031250	0.062500	0.031250	0.031250
9.520000000e-05	0.031250	0.062500	0.031250	0.031250
9.600000000e-05	0.031250	0.062500	0.031250	0.031250
9.680000000e-05	0.031250	0.031250	0.031250	0.031250
9.760000000e-05	0.031250	0.062500	0.031250	0.031250
9.840000000e-05	0.031250	0.062500	0.031250	0.031250
9.920000000e-05	0.031250	0.062500	0.031250	0.031250
1.000000000e-04	0.031250	0.062500	0.031250	0.031250
1.008000000e-04	0.031250	0.062500	0.031250	0.031250
1.016000000e-04	0.031250	0.062500	0.031250	0.031250
1.024000000e-04	0.031250	0.062500	0.031250	0.031250
1.032000000e-04	0.031250	0.031250	0.031250	0.031250
1.040000000e-04	0.062500	0.062500	0.031250	0.031250
1.048000000e-04	0.031250	0.062500	0.031250	0.031250
1.056000000e-04	0.062500	0.062500	0.031250	0.031250
1.064000000e-04	0.031250	0.062500	0.031250	0.031250
1.072000000e-04	0.031250	0.062500	0.031250	0.031250
1.080000000e-04	0.062500	0.031250	0.031250	0.031250
1.088000000e-04	0.031250	0.062500	0.031250	0.031250
1.096000000e-04	0.031250	0.062500	0.031250	0.031250
1.104000000e-04	0.031250	0.062500	0.031250	0.031250
1.112000000e-04	0.062500	0.062500	0.031250	0.031250
1.120000000e-04	0.062500	0.031250	0.031250	0.031250
1.128000000e-04	0.031250	0.062500	0.031250	0.031250
1.136000000e-04	0.062500	0.062500	0.031250	0.031250
1.144000000e-04	0.031250	0.062500	0.031250	0.031250
1.152000000e-04	0.031250	0.062500	0.031250	0.031250
1.160000000e-04	0.062500	0.062500	0.031250	0.031250
1.168000000e-04	0.031250	0.062500	0.031250	0.031250
1.176000000e-04	0.031250	0.062500	0.031250	0.031250
1.184000000e-04	0.062500	0.062500	0.031250	0.031250
1.192000000e-04	0.062500	0.062500	0.031250	0.031250
1.200000000e-04	0.031250	0.062500	0.031250	0.031250
1.208000000e-04	0.031250	0.062500	0.031250	0.031250
1.216000000e-04	0.062500	0.062500	0.031250	0.031250
1.224000000e-04	0.062500	0.062500	0.031250	0.031250
1.232000000e-04	0.031250	0.031250	0.031250	0.031250
1.240000000e-04	0.031250	0.062500	0.031250	0.031250
1.248000000e-04	0.031250	0.062500	0.031250	0.031250
1.256000000e-04	0.031250	0.062500	0.031250	0.031250
1.264000000e-04	0.031250	0.062500	0.031250	0.031250
1.272000000e-04	0.031250	0.062500	0.031250	0.031250
1.280000000e-04	0.062500	0.062500	0.031250	0.031250
1.288000000e-04	0.031250	0.062500	0.031250	0.031250
1.296000000e-04	0.062500	0.062500	0.031250	0.031250
1.304000000e-04	0.062500	0.062500	0.031250	0.031250
1.312000000e-04	0.031250	0.062500	0.031250	0.031250
1.320000000e-04	0.031250	0.062500	0.031250	0.031250
1.328000000e-04	0.031250	0.062500	0.031250	0.031250
1.336000000e-04	0.031250	0.031250	0.031250	0.031250
1.344000000e-04	0.031250	0.031250	0.031250	0.031250
1.352000000e-04	3.406250	0.062500	0.031250	0.031250
1.360000000e-04	3.343750	0.062500	0.031250	0.031250
